ID,encoded_pixels
image_000,2:177285 11 177320 10 177963 11 177998 10 178641 11 178676 10 179317 15 179351 19 179995 15 180029 19 180670 21 180704 27 181348 21 181382 27 182026 26 182058 39 182704 26 182736 39 183379 88 184057 88 184735 88 185411 92 186089 92 186764 103 186878 5 187442 103 187556 5 188117 127 188795 127 189468 140 190146 140 190824 140 191497 148 191669 8 192175 148 192347 8 192850 156 193020 16 193528 156 193698 16 194206 156 194373 21 194450 5 194884 156 195051 21 195128 5 195562 159 195726 27 195803 11 196240 159 196404 27 196481 11 196918 159 197082 27 197159 11 197599 153 197760 27 197837 11 198277 153 198438 27 198515 11 198957 149 199122 18 199635 149 199800 18 200316 143 200480 14 200994 143 201158 14 201675 140 201839 11 202353 140 202517 11 203031 140 203195 11 203709 143 203873 11 204387 143 204551 11 205065 145 205224 16 205306 2 205743 145 205902 16 205984 2 206421 180 206654 18 207099 180 207332 18 207771 191 208007 24 208449 191 208685 24 209127 191 209363 24 209800 201 210038 30 210478 201 210716 30 211151 217 211387 39 211829 217 212065 39 212502 283 213180 283 213850 294 214528 294 215206 294 215878 300 216556 300 217232 304 217910 304 218588 304 219266 304 219944 304 220622 304 221300 304 221978 304 222656 304 223334 304 224012 304 224692 302 225370 302 226048 302 226726 302 227404 302 228082 302 228760 302 229441 302 230119 302 230794 308 231472 308 232150 339 232828 339 233506 339 234184 342 234862 342 235540 345 236218 345 236896 350 237574 350 238250 355 238928 355 239606 355 240284 357 240962 357 241640 357 242318 357 242996 360 243674 360 244352 360 245030 360 245708 360 246388 358 247066 358 247744 355 248422 355 249100 353 249778 353 250459 350 251137 350 251815 350 252493 350 253171 350 253852 344 254530 344 255208 341 255886 341 256566 337 257244 337 257922 337 258603 334 259281 334 259962 328 260640 328 261320 326 261998 326 262684 315 263362 315 264040 315 264726 305 265404 305 266085 302 266763 302 267441 302 268119 302 268799 297 269477 297 270155 297 270833 294 271511 294 272192 289 272870 289 273551 283 274229 283 274909 276 275587 276 276265 276 276946 267 277624 267 278305 190 278506 61 278983 190 279184 61 279663 183 279865 58 280341 183 280543 58 281022 172 281234 37 281700 172 281912 37 282378 172 282590 37 283059 161 283273 29 283737 161 283951 29 284417 156 284634 19 285095 156 285312 19 285776 148 286454 148 287134 138 287812 138 288490 138 289176 125 289854 125 290543 103 291221 103 291910 82 292588 82 293292 35 293329 3 293970 35 294007 3 294648 35 294685 3
image_001,1:16723 7 17278 7 17831 15 18382 30 18937 30 19489 35 20044 35 20599 42 21154 42 21707 46 22262 46 22822 45 23377 45 23910 11 23923 2 23927 61 24465 15 24482 2 24487 65 24554 2 25020 15 25037 2 25042 65 25109 2 25573 95 26128 95 26683 17 26702 78 27238 17 27257 78 27791 106 28346 106 28901 108 29456 108 30013 108 30568 17 30596 2 30600 2 30605 2 30609 2 30613 2 30618 2 30622 2 30626 48 31123 17 31151 2 31155 2 31160 2 31164 2 31168 2 31173 2 31177 2 31181 48 31680 13 31741 2 31745 39 32235 13 32296 2 32300 39 32864 21 33419 21
image_002,1:68669 24 69235 24 69796 34 70362 34 70920 46 71486 46 72049 51 72615 51 73175 62 73741 62 74304 65 74859 80 75425 80 75991 78 76557 78 77119 84 77685 84 78251 84 78817 84 79381 86 79947 86 80511 90 81079 88 81645 88 82209 90 82775 90 83341 90 83907 90 84473 90 85039 90 85602 91 86168 91 86732 93 87298 91 87864 91 88430 89 88996 89 89564 82 90130 82 90699 70 91265 70 91833 59 91895 2 92399 59 92461 2 92974 6 92987 20
image_003,1:40819 22 41508 22 42184 46 42873 46 43562 46 44243 59 44932 59 45610 73 46299 73 46980 83 47669 83 48353 91 49042 91 49731 91 50414 100 51103 100 51790 105 52479 105 53165 110 53854 110 54543 110 55226 116 55915 116 56599 124 57288 124 57974 130 58663 130 59347 135 60036 135 60725 135 61411 140 62100 140 62784 148 63473 148 64159 151 64848 151 65535 153 66224 153 66913 153 67599 159 68288 159 68971 165 69660 165 70347 167 71036 167 71722 172 72411 172 73100 172 73784 177 74473 177 75159 180 75848 180 76534 186 77223 186 77907 191 78596 191 79285 191 79971 194 80660 194 81347 196 82036 196 82725 196 83414 196 84100 202 84789 202 85478 202 86164 205 86853 205 87542 205 88231 205 88917 208 89606 208 90293 210 90982 210 91671 210 92360 210 93049 210 93735 213 94424 213 95113 215 95802 215 96491 215 97180 215 97869 215 98555 218 99244 218 99933 218 100622 218 101311 218 102000 218 102689 218 103378 218 104067 218 104754 220 105443 220 106132 220 106821 220 107510 220 108199 220 108888 220 109577 223 110266 223 110955 220 111644 220 112333 223 113022 223 113711 220 114400 220 115089 220 115778 220 116467 220 117156 220 117845 220 118534 218 119223 218 119912 218 120601 218 121290 218 121979 218 122668 218 123359 213 124048 213 124737 213 125426 213 126115 213 126804 213 127493 213 128182 213 128871 213 129560 210 130249 210 130941 207 131630 207 132319 207 133008 207 133697 207 134386 207 135075 207 135767 204 136456 204 137145 204 137834 204 138523 204 139212 204 139901 204 140590 204 141279 204 141968 202 142657 202 143348 200 144037 200 144726 200 145415 200 146104 200 146793 200 147482 200 148174 194 148863 194 149552 194 150241 194 150930 194 151622 191 152311 191 153003 188 153692 188 154381 185 155070 185 155761 183 156450 183 157139 183 157831 178 158520 178 159212 175 159901 175 160592 170 161281 170 161976 161 162665 161 163354 161 164048 154 164737 154 165431 146 166120 146 166815 140 167504 140 168198 132 168887 132 169576 132 170271 123 170960 123 171654 116 172343 116 173037 108 173726 108 174421 97 175110 97 175799 97 176499 80 177188 80 177885 67 178574 67 179273 46 179962 46 232445 35 233134 35 233807 59 234496 59 235179 73 235868 73 236557 73 237241 86 237930 86 238616 94 239305 94 239994 92 240683 92 241370 96 242059 96 242748 96 243437 94 244126 94 244815 96 245504 96 246190 94 246879 94 247568 94 248257 94 248946 94 249632 100 250321 100 251010 100 251699 100 252388 100 253077 100 253766 100 254455 100 255144 100 255830 103 256519 103 257211 100 257900 100 258586 103 259275 103 259964 103 260653 97 261342 97 262031 92 262720 92 263412 89 264101 89 264790 81 265479 81 266168 81 266857 73 267546 73 268235 67 268924 67 269616 62 270305 62 270997 53 271686 53 272375 53 273066 43 273755 43 274450 24 275139 24~2:159615 3 159621 2 160304 3 160310 2 162398 3 163087 3 163776 3 164454 25 165143 25 165830 32 166519 32 167205 38 167894 38 168583 38 169272 38 169961 38 170650 35 171339 35 172033 27 172722 27 173420 13 174109 13
image_004,1:172550 33 173322 33 174066 70 174838 70 175610 70 176367 91 177139 91 177902 106 178674 106 179437 118 180209 118 180978 124 181750 124 182522 124 183288 136 184060 136 184826 142 185598 142 186367 148 187139 148 187911 151 188683 151 189455 151 190227 151 190999 151 191768 157 192540 157 193309 163 194081 163 194850 166 195622 166 196394 166 197163 172 197935 172 198704 178 199476 178 200245 181 201017 181 201783 187 202555 187 203327 187 204099 187 204871 187 205637 196 206409 196 207181 196 207953 196 208722 202 209494 202 210266 202 211038 202 211810 202 212579 205 213351 205 214123 208 214895 208 215667 211 216439 211 217211 211 217983 211 218755 211 219527 211 220299 211 221071 211 221843 211 222612 217 223384 217 224156 217 224928 217 225700 217 226469 223 227241 223 228013 223 228785 223 229557 223 230329 223 231101 223 231873 223 232645 223 233417 226 234189 226 234961 226 235733 226 236505 229 237277 229 238049 229 238821 229 239593 229 240365 229 241137 229 241909 229 242681 229 243453 232 244225 232 244997 232 245769 232 246541 232 247313 232 248085 232 248857 232 249629 232 250401 235 251173 235 251945 235 252717 232 253489 232 254261 235 255033 235 255805 232 256577 232 257349 235 258121 235 258893 235 259665 232 260437 232 261209 232 261981 232 262756 226 263528 226 264300 226 265072 226 265844 226 266616 223 267388 223 268160 220 268932 220 269704 217 270476 217 271248 214 272020 214 272792 214 273567 208 274339 208 275111 205 275883 205 276658 196 277430 196 278202 193 278974 193 279746 193 280521 184 281293 184 282065 178 282837 178 283612 166 284384 166 285159 157 285931 157 286703 157 287475 148 288247 148 289022 139 289794 139 290569 127 291341 127 292116 115 292888 115 293660 115 294438 100 295210 100 295988 88 296760 88 297535 69 298307 69 299088 45 299860 45 300632 45 301422 9 302194 9
image_005,<empty>
image_006,<empty>
image_007,<empty>
image_008,1:53821 3 53826 2 53830 2 54373 3 54378 2 54382 2 54923 20 55475 20 56021 21 56573 21 57121 30 57673 30 58214 4 58220 2 58229 26 58766 4 58772 2 58781 26 59337 28 59891 24 59930 13 60443 24 60482 13 61004 17 61034 17 61556 17 61586 17 62114 16 62132 26 62666 16 62684 26 63221 13 63236 26 63773 13 63788 26 64327 39 64879 39 65431 39 65983 39 66535 39 67087 39 67639 39 68193 4 68199 28 68745 4 68751 28 69314 15 69866 15 92457 15 93009 15 93527 15 93550 31 94079 15 94102 31 94624 63 95172 67 95724 67 96274 69 96826 69 97376 71 97928 71 98480 69 99032 69 99581 69 100133 65 100685 65 101237 44 101789 44 102344 36 102896 36 103448 34 104000 34 104554 28 105106 28 105662 19 106223 4 106775 4~2:46059 4 46611 4 47159 13 47709 19 48261 19 48810 28 49362 28 49912 37 50464 37 51014 41 51566 41 52116 45 52668 45 53222 45 53774 47 54326 47 54878 45 55430 45 55984 37 56536 37 57093 28 57645 28 58201 13 58753 13 169282 15 169834 15 170382 17 170930 21 171482 21 172031 22 172583 22 173131 24 173683 24 174233 26 174785 26 175335 28 175887 28 176439 28 176989 30 177541 30 178093 30 178645 30 179194 33 179746 33 180298 31 180850 31 181402 31 181954 31 182509 26 183061 26 183613 26 184165 23 184717 23 185269 21 185821 21 186375 19 186927 19 187479 19 188031 19 188583 17 189135 15 189687 15 190239 15 190791 15 191345 13 191897 13 192451 9 193003 9 193555 7
image_009,1:56628 2 56632 15 56649 2 57174 25 57720 25 58261 37 58807 37 59358 34 59904 34 60445 41 60488 2 60991 41 61034 2 61542 36 62088 36 62629 3 62634 36 62672 2 62676 2 63180 38 63726 38 64267 45 64314 2 64319 2 64323 2 64327 2 64331 3 64813 45 64860 2 64865 2 64869 2 64873 2 64877 3 65362 44 65908 44 66451 49 66503 2 66507 2 66511 2 66515 3 66520 2 66524 2 66997 49 67049 2 67053 2 67057 2 67061 3 67066 2 67070 2 67543 45 68089 45 68635 45 68682 2 68687 2 68691 2 68695 2 68699 3 68704 2 68708 2 69181 39 69727 39 70273 41 70316 2 70346 2 70819 41 70862 2 70892 2 71365 32 71911 32 72453 2 72457 32 72492 2 72999 2 73003 32 73038 2 73549 28 74095 24 74121 2 74641 24 74667 2 75192 6 75200 2 75738 6 75746 2 76284 2 76288 2 76292 2 76830 2 76834 2 76838 2 97113 8 97659 8 98203 8 98749 8 99292 9 99838 9 100382 11 100928 11 101474 11 102020 11 102566 9 103112 9 103658 9 104206 5 104752 5 105298 5 105844 5 120008 7 120017 2 120554 7 120563 2 121100 11 121646 11 122188 15 122734 15 123280 15 123826 15 124362 2 124366 21 124908 2 124912 21 125458 23 125961 2 125965 3 125970 2 125974 2 125978 2 125982 3 125987 2 125991 2 125995 32 126507 2 126511 3 126516 2 126520 2 126524 2 126528 3 126533 2 126537 2 126541 32 127087 32 127633 32 128132 2 128137 2 128141 2 128145 2 128149 3 128154 2 128158 51 128678 2 128683 2 128687 2 128691 2 128695 3 128700 2 128704 51 129226 75 129772 75 130312 2 130316 75 130860 75 131406 75 131946 2 131950 77 132492 2 132496 77 133040 77 133586 77 134130 77 134676 77 135222 74 135768 74 136310 2 136314 72 136858 72 137404 72 137948 72 138494 72 139042 68 139588 68 140132 66 140678 66 141224 64 141770 64 142316 59 142862 55 143408 55 143951 54 144497 54 145041 51 145587 51 146135 43 146681 43 147225 39 147773 24 148319 24~2:34681 2 35214 34 35760 34 36293 69 36839 69 37379 83 37925 83 38465 96 39011 96 39552 109 40096 120 40642 120 41186 128 41732 128 42276 139 42822 139 43366 147 43912 147 44456 183 45002 183 45546 194 46089 201 46635 201 47179 209 47725 209 48269 222 48497 3 48815 222 49043 3 49361 239 49907 239 50453 245 50999 245 51543 250 52089 254 52635 254 53181 256 53727 256 54273 258 54819 258 55363 262 55909 262 56453 175 56630 2 56647 2 56651 68 56997 177 57199 69 57543 177 57745 69 58087 174 58298 62 58633 174 58844 62 59176 182 59392 60 59722 182 59938 60 60266 179 60486 2 60490 56 60812 179 61032 2 61036 56 61354 188 61578 62 61900 188 62124 62 62442 187 62632 2 62670 2 62674 2 62678 56 62988 192 63218 64 63534 192 63764 64 64078 189 64312 2 64316 3 64321 2 64325 2 64329 2 64334 42 64624 189 64858 2 64862 3 64867 2 64871 2 64875 2 64880 42 65170 192 65406 62 65716 192 65952 62 66262 189 66500 3 66505 2 66509 2 66513 2 66518 2 66522 2 66526 36 66808 189 67046 3 67051 2 67055 2 67059 2 67064 2 67068 2 67072 36 67354 189 67588 68 67900 189 68134 68 68446 189 68680 2 68684 3 68689 2 68693 2 68697 2 68702 2 68706 2 68710 38 68992 189 69220 77 69538 189 69766 77 70086 187 70314 2 70318 28 70348 41 70632 187 70860 2 70864 28 70894 41 71180 185 71397 86 71726 185 71943 86 72272 181 72455 2 72489 3 72494 81 72818 181 73001 2 73035 3 73040 81 73366 183 73577 92 73914 181 74119 2 74123 92 74460 181 74665 2 74669 92 75006 186 75198 2 75202 107 75552 186 75744 2 75748 107 76100 184 76286 2 76290 2 76294 107 76646 184 76832 2 76836 2 76840 107 77192 301 77738 301 78284 303 78830 303 79376 303 79922 303 80468 303 81014 305 81560 305 82066 10 82104 307 82612 10 82650 307 83158 13 83194 311 83704 13 83740 311 84252 17 84282 315 84798 17 84828 315 85346 343 85896 339 86442 339 86988 339 87534 339 88082 337 88628 337 89172 339 89718 339 90266 337 90812 337 91356 337 91902 337 92448 337 92992 337 93538 337 94084 335 94630 335 95176 333 95722 333 96268 331 96814 299 97121 17 97360 299 97667 17 97906 297 98215 9 98452 297 98761 9 98998 294 99544 294 100090 292 100636 292 101182 292 101728 292 102272 294 102818 294 103364 294 103910 296 104456 296 105000 298 105546 298 106092 298 106638 298 107184 296 107730 296 108276 292 108822 286 109368 286 109914 284 110460 284 111008 284 111554 284 112100 282 112646 282 113192 282 113740 280 114286 280 114832 277 115378 277 115926 278 116472 278 117018 275 117564 275 118115 273 118661 273 119211 269 119761 247 120015 2 120019 9 120307 247 120561 2 120565 9 120855 245 121111 9 121401 245 121657 9 121958 230 122203 9 122504 230 122749 9 123063 217 123295 9 123609 217 123841 9 124159 203 124364 2 124387 7 124705 203 124910 2 124933 7 125253 205 125481 5 125799 162 125963 2 125968 2 125972 2 125976 2 125980 2 125985 2 125989 2 125993 2 126027 2 126345 162 126509 2 126514 2 126518 2 126522 2 126526 2 126531 2 126535 2 126539 2 126573 2 126891 196 127437 196 127985 147 128134 3 128139 2 128143 2 128147 2 128152 2 128156 2 128531 147 128680 3 128685 2 128689 2 128693 2 128698 2 128702 2 129077 149 129623 149 130169 143 130314 2 130715 145 131261 145 131809 137 131948 2 132355 137 132494 2 132901 139 133447 139 133995 135 134541 135 135087 135 135633 135 136184 126 136312 2 136734 124 137280 124 137835 113 138381 113 138935 107 139481 107 140033 99 140579 99 141130 94 141676 94 142226 90 142774 88 143320 88 143883 68 144429 68 144977 64 145523 64 146071 64 146617 64 147166 59 147716 57 148262 57 148833 26 149379 26
